ID,Original Question,Original Answer,1st Question,1st Choices,1st Answer,2nd Question,2nd Answer,3rd Question,3rd Answer,,Decision,Any changes need to be made?,Notes
,What is type 2 diabetes?,"A chronic condition that affects the way your body metabolizes sugar (glucose), often due to insulin resistance or insufficient insulin production.",Type 2 diabetes is primarily caused by which of the following?,"A) Excessive insulin production
B) Insulin resistance or insufficient insulin production
C) Inability to digest fats
D) Lack of exercise",Answer: B) Insulin resistance or insufficient insulin production,,,,,,,,
,What are the symptoms of type 2 diabetes?,"Increased thirst, frequent urination, extreme fatigue, blurred vision, slow-healing wounds, and frequent infections.",Which of the following is associated with type 2 diabetes?,"A) Increased thirst and frequent urination
B) Nausea and dizziness
C) Rapid weight loss and confusion
D) Shortness of breath and chest pain","

Answer: A) Increased thirst and frequent urination",,,,,,,,
,What causes type 2 diabetes?,"Factors include genetics, being overweight, inactivity, and insulin resistance. Obesity is a major risk factor.",Which of the following factors contributes to the development of type 2 diabetes due to insulin resistance?,"A) Lack of sleep
B) Being overweight
C) High sodium intake
D) Excessive sugar consumption","

Answer: B) Being overweight",,,,,,,,
,How is type 2 diabetes diagnosed?,"Through blood tests measuring blood sugar levels, typically the A1C test, fasting plasma glucose test, or oral glucose tolerance test.",Which of the following tests is commonly used to diagnose type 2 diabetes?,"A) MRI scan
B) A1C test
C) Chest X-ray
D) EEG
","

Answer: B) A1C test",,,,,,,,
,What is the difference between type 1 and type 2 diabetes?,"Type 1 is an autoimmune condition with no insulin production, while type 2 involves insulin resistance and a gradual insulin deficiency.",How does Type 2 diabetes differ from Type 1 diabetes in terms of insulin function?,"A) Type 2 diabetes involves a complete lack of insulin production.                        
B) Type 1 diabetes involves insulin resistance.                        
C) Type 2 diabetes is characterized by insulin resistance and gradual insulin deficiency.                        
D) Type 1 diabetes has a gradual insulin deficiency.                   ",Answer: C) Type 2 diabetes is characterized by insulin resistance and gradual insulin deficiency.      ,,,,,,,,
,Can type 2 diabetes be reversed?,"Some individuals may achieve remission through significant lifestyle changes such as weight loss and dietary modifications, but it is not universally considered reversible.",What lifestyle changes are most likely to lead to remission of type 2 diabetes?,"A) Increased physical activity and weight gain.
B) Weight loss and dietary modifications.
C) Enhanced use of medication and reduced physical activity.
D) Regular alcohol consumption and a high-fat diet.","

Answer: B) Weight loss and dietary modifications.",,,,,,,,
,How can I manage type 2 diabetes?,"Through a healthy diet, regular exercise, maintaining a healthy weight, monitoring blood sugar levels, and following healthcare recommendations on medications.","What is an important aspect of a diabetic diet, besides the choice of foods?","A) Avoiding all carbohydrates completely
B) Focusing on carbohydrate counting and portion control
C) Only eating high-protein foods
D) Skipping meals to control blood sugar","

Answer: B) Focusing on carbohydrate counting and portion control",,,,,,,,
,What is a diabetic diet?,"Focuses on fresh, whole foods including vegetables, fruits, whole grains, lean proteins, and healthy fats, with attention to carbohydrate counting and portion control.",What factor can help some individuals with type 2 diabetes achieve remission?,"A) Only taking diabetes medication.
B) Major weight loss and dietary changes.
C) Increasing physical activity without any dietary changes.
D) Avoiding any form of exercise.
","

Answer: B) Major weight loss and dietary changes.",,,,,,,,
,How does exercise affect type 2 diabetes?,Regular exercise helps lower blood sugar levels and improves overall health and insulin sensitivity.,How does regular exercise help manage type 2 diabetes?,"A) By decreasing insulin sensitivity and increasing blood sugar levels.
B) By improving insulin sensitivity and lowering blood sugar levels.
C) By causing weight gain and higher blood sugar levels.
D) By increasing the risk of cardiovascular disease.","

Answer: B) By improving insulin sensitivity and lowering blood sugar levels.",,,,,,,,
,What medications are commonly prescribed for type 2 diabetes?,"Metformin as the first-line treatment, and potentially sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists, and insulin based on individual needs.","Which class of medication is commonly prescribed for type 2 diabetes if metformin is not sufficient in controlling blood sugar?
","A) Antidepressants
B) GLP-1 receptor agonists
C) Beta-blockers
D) Statins","

Answer: B) GLP-1 receptor agonists",,,,,,,,
,How does insulin work in type 2 diabetes?,"Insulin helps cells absorb glucose from the bloodstream; in type 2 diabetes, the response to insulin is diminished, necessitating higher levels for the same effect.","In type 2 diabetes, what happens to the body's response to insulin?","A) The body becomes more sensitive to insulin
B) The body no longer produces insulin
C) The body's response to insulin is diminished
D) The body increases the production of insulin","

Answer: C) The body's response to insulin is diminished",,,,,,,,
,What are the long-term complications of type 2 diabetes?,"Complications include cardiovascular disease, nerve damage, kidney damage, eye problems (retinopathy), foot damage, and skin issues.",Which of the following complications is most commonly associated with type 2 diabetes affecting the kidneys?,"A) Kidney damage
B) Retinopathy
C) Foot damage
D) Skin issues","

Answer: A) Kidney damage",,,,,,,,
,How often should I check my blood sugar levels?,Monitoring frequency varies based on treatment and individual goals; consult a healthcare provider for a personalized plan.,What is the best way to determine how often to check your blood sugar levels?,"A) By tracking the results yourself and adjusting accordingly
B) By consulting a healthcare provider for a personalized plan
C) By following advice from family members
D) By referring to online health blogs","

Answer: B) By consulting a healthcare provider for a personalized plan",,,,,,,,
,What is a healthy blood sugar range for someone with type 2 diabetes?,"Generally, A1C levels should be below 7%, with blood glucose levels between 80-130 mg/dL before meals and under 180 mg/dL after meals.",What is the ideal range for blood glucose levels before meals for someone with type 2 diabetes?,"A) 70-100 mg/dL B) 80-130 mg/dL C) 100-150 mg/dL D) 120-160 mg/dL
","
Answer: B) 80-130 mg/dL",,,,,,,,
,How can I prevent type 2 diabetes?,"Maintaining a healthy weight, regular physical activity, a balanced diet, and routine health check-ups can help prevent type 2 diabetes, especially if there are risk factors.", What is the primary benefit of regular physical activity in preventing type 2 diabetes?,"A) It decreases the risk of high blood pressure.
B) It helps maintain a healthy weight and improves insulin sensitivity.
C) It reduces the need for routine health check-ups.
D) It increases the body's sugar levels.","

Answer: B) It helps maintain a healthy weight and improves insulin sensitivity.",,,,,,,,
