ID,Original Question,Original Answer,1st Question,1st Choices,1st Answer,2nd Question,2nd Answer,3rd Question,3rd Answer,,Decision,Any changes need to be made?,Notes
,What is type 2 diabetes?,"A chronic condition that affects the way your body metabolizes sugar (glucose), often due to insulin resistance or insufficient insulin production.",Which of the following statements best explains the relationship between insulin resistance and Type 2 diabetes?,"A) Insulin resistance occurs when the body becomes more sensitive to insulin, leading to excessive sugar absorption.
B) Insulin resistance causes the body to produce too much insulin, overwhelming the pancreas.
C) Insulin resistance leads to insufficient insulin production, which disrupts the body's ability to metabolize glucose.
D) Insulin resistance results from a lack of exercise and does not affect glucose metabolism.","Answer: C) Insulin resistance leads to insufficient insulin production, which disrupts the body's ability to metabolize glucose.",,,,,,,,
,What are the symptoms of type 2 diabetes?,"Increased thirst, frequent urination, extreme fatigue, blurred vision, slow-healing wounds, and frequent infections.","A patient is experiencing blurred vision, slow-healing wounds, and frequent infections. What condition might these symptoms indicate?","A) Type 2 diabetes
B) Hypertension
C) Hyperthyroidism
D) Kidney disease","

Answer: A) Type 2 diabetes",,,,,,,,
,What causes type 2 diabetes?,"Factors include genetics, being overweight, inactivity, and insulin resistance. Obesity is a major risk factor.",Which of the following combinations of factors are commonly linked to the development of type 2 diabetes?,"A) Genetics, inactivity, and high blood pressure
B) Genetics, obesity, and insulin resistance
C) Inactivity, high cholesterol, and excessive sugar intake
D) Insulin resistance, smoking, and stress
","
Answer: B) Genetics, obesity, and insulin resistance",,,,,,,,
,How is type 2 diabetes diagnosed?,"Through blood tests measuring blood sugar levels, typically the A1C test, fasting plasma glucose test, or oral glucose tolerance test.",What are the three most common blood tests used to diagnose type 2 diabetes?," A) Fasting plasma glucose test, oral glucose tolerance test, A1C test
B) Blood pressure test, cholesterol test, A1C test
C) Oral glucose tolerance test, CT scan, fasting plasma glucose test
D) Fasting plasma glucose test, MRI scan, cholesterol test
","
Answer: A) Fasting plasma glucose test, oral glucose tolerance test, A1C test",,,,,,,,
,What is the difference between type 1 and type 2 diabetes?,"Type 1 is an autoimmune condition with no insulin production, while type 2 involves insulin resistance and a gradual insulin deficiency.","Which of the following best explains the primary physiological difference between Type 1 and Type 2 diabetes?
","A) Type 1 diabetes results from insulin resistance, while Type 2 diabetes is caused by an autoimmune attack on the pancreas.
B) Type 1 diabetes involves a complete lack of insulin production, while Type 2 diabetes involves insulin resistance and a gradual decrease in insulin production.
C) Type 1 diabetes is caused by excessive insulin production, while Type 2 diabetes is due to a deficiency in insulin.
D) Both Type 1 and Type 2 diabetes are caused by the same underlying mechanism of insulin resistance.
","
Answer: B) Type 1 diabetes involves a complete lack of insulin production, while Type 2 diabetes involves insulin resistance and a gradual decrease in insulin production.",,,,,,,,
,Can type 2 diabetes be reversed?,"Some individuals may achieve remission through significant lifestyle changes such as weight loss and dietary modifications, but it is not universally considered reversible.","Why is type 2 diabetes not universally considered reversible, despite potential remission in some individuals?
","A) The condition is always reversible with medication.
B) Remission depends on individual factors such as genetics and the extent of lifestyle changes.
C) Type 2 diabetes cannot be reversed under any circumstances.
D) Only individuals over the age of 50 can achieve remission through lifestyle changes.
","
Answer: B) Remission depends on individual factors such as genetics and the extent of lifestyle changes.",,,,,,,,
,How can I manage type 2 diabetes?,"Through a healthy diet, regular exercise, maintaining a healthy weight, monitoring blood sugar levels, and following healthcare recommendations on medications.", Which of the following practices is most beneficial for managing diabetes through diet?,"A) Eating unlimited portions of low-fat foods while avoiding carbs
B) Including fresh, whole foods and controlling portion sizes and carbohydrate intake
C) Focusing solely on avoiding sugars and not considering fat intake
D) Consuming a high-fat, low-carb diet with no attention to vegetables
","
Answer: B) Including fresh, whole foods and controlling portion sizes and carbohydrate intake",,,,,,,,
,What is a diabetic diet?,"Focuses on fresh, whole foods including vegetables, fruits, whole grains, lean proteins, and healthy fats, with attention to carbohydrate counting and portion control.",Why is type 2 diabetes not universally considered reversible despite lifestyle changes in some individuals?,"A) Because most individuals do not make the necessary lifestyle changes.
B) Because remission can be temporary, and not everyone experiences it.
C) Because diabetes medication is the only effective treatment.
D) Because weight loss is insufficient to reverse the condition in all cases.

","Answer: B) Because remission can be temporary, and not everyone experiences it.",,,,,,,,
,How does exercise affect type 2 diabetes?,Regular exercise helps lower blood sugar levels and improves overall health and insulin sensitivity.," In addition to lowering blood sugar levels, what is another long-term benefit of regular exercise for individuals with type 2 diabetes?","A) It decreases the body's ability to use insulin effectively.
B) It helps improve overall health and reduces the risk of complications.
C) It leads to an increase in blood pressure.
D) It causes a significant decrease in physical activity levels.

",Answer: B) It helps improve overall health and reduces the risk of complications.,,,,,,,,
,What medications are commonly prescribed for type 2 diabetes?,"Metformin as the first-line treatment, and potentially sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists, and insulin based on individual needs.",A patient with type 2 diabetes is not responding well to metformin. The doctor decides to prescribe a medication from the DPP-4 inhibitor class. Which of the following medications is most likely to be prescribed?,"A) Sitagliptin
B) Liraglutide
C) Glimepiride
D) Insulin","

Answer: A) Sitagliptin",,,,,,,,
